Datum,Uhrzeit,Messwert
01.01.2019,'01:00',19
01.01.2019,'02:00',11
01.01.2019,'03:00',9
01.01.2019,'04:00',7
01.01.2019,'05:00',8
01.01.2019,'06:00',5
01.01.2019,'07:00',5
01.01.2019,'08:00',5
01.01.2019,'09:00',6
01.01.2019,'10:00',6
01.01.2019,'11:00',10
01.01.2019,'12:00',16
01.01.2019,'13:00',21
01.01.2019,'14:00',23
01.01.2019,'15:00',27
01.01.2019,'16:00',24
01.01.2019,'17:00',22
01.01.2019,'18:00',22
01.01.2019,'19:00',21
01.01.2019,'20:00',19
01.01.2019,'21:00',17
01.01.2019,'22:00',15
01.01.2019,'23:00',12
01.01.2019,'24:00',12
02.01.2019,'01:00',10
02.01.2019,'02:00',7
02.01.2019,'03:00',8
02.01.2019,'04:00',11
02.01.2019,'05:00',25
02.01.2019,'06:00',65
02.01.2019,'07:00',71
02.01.2019,'08:00',70
02.01.2019,'09:00',71
02.01.2019,'10:00',73
02.01.2019,'11:00',79
02.01.2019,'12:00',82
02.01.2019,'13:00',72
02.01.2019,'14:00',83
02.01.2019,'15:00',87
02.01.2019,'16:00',93
02.01.2019,'17:00',101
02.01.2019,'18:00',114
02.01.2019,'19:00',114
02.01.2019,'20:00',105
02.01.2019,'21:00',86
02.01.2019,'22:00',62
02.01.2019,'23:00',51
02.01.2019,'24:00',44
03.01.2019,'01:00',32
03.01.2019,'02:00',37
03.01.2019,'03:00',43
03.01.2019,'04:00',48
03.01.2019,'05:00',71
03.01.2019,'06:00',88
03.01.2019,'07:00',107
03.01.2019,'08:00',109
03.01.2019,'09:00',109
03.01.2019,'10:00',119
03.01.2019,'11:00',128
03.01.2019,'12:00',123
03.01.2019,'13:00',121
03.01.2019,'14:00',126
03.01.2019,'15:00',122
03.01.2019,'16:00',121
03.01.2019,'17:00',98
03.01.2019,'18:00',110
03.01.2019,'19:00',102
03.01.2019,'20:00',89
03.01.2019,'21:00',83
03.01.2019,'22:00',70
03.01.2019,'23:00',55
03.01.2019,'24:00',49
04.01.2019,'01:00',28
04.01.2019,'02:00',19
04.01.2019,'03:00',17
04.01.2019,'04:00',18
04.01.2019,'05:00',25
04.01.2019,'06:00',40
04.01.2019,'07:00',55
04.01.2019,'08:00',60
04.01.2019,'09:00',60
04.01.2019,'10:00',71
04.01.2019,'11:00',58
04.01.2019,'12:00',55
04.01.2019,'13:00',68
04.01.2019,'14:00',83
04.01.2019,'15:00',80
04.01.2019,'16:00',83
04.01.2019,'17:00',83
04.01.2019,'18:00',65
04.01.2019,'19:00',68
04.01.2019,'20:00',47
04.01.2019,'21:00',28
04.01.2019,'22:00',23
04.01.2019,'23:00',18
04.01.2019,'24:00',16
05.01.2019,'01:00',14
05.01.2019,'02:00',9
05.01.2019,'03:00',10
05.01.2019,'04:00',8
05.01.2019,'05:00',20
05.01.2019,'06:00',38
05.01.2019,'07:00',43
05.01.2019,'08:00',48
05.01.2019,'09:00',63
05.01.2019,'10:00',100
05.01.2019,'11:00',93
05.01.2019,'12:00',98
05.01.2019,'13:00',97
05.01.2019,'14:00',95
05.01.2019,'15:00',88
05.01.2019,'16:00',95
05.01.2019,'17:00',98
05.01.2019,'18:00',91
05.01.2019,'19:00',99
05.01.2019,'20:00',92
05.01.2019,'21:00',92
05.01.2019,'22:00',77
05.01.2019,'23:00',73
05.01.2019,'24:00',70
06.01.2019,'01:00',57
06.01.2019,'02:00',44
06.01.2019,'03:00',33
06.01.2019,'04:00',34
06.01.2019,'05:00',38
06.01.2019,'06:00',37
06.01.2019,'07:00',34
06.01.2019,'08:00',27
