Cars-Direction-1,Cars-Direction-2,Cars-Total,Date,Day-Of-Week,Hour
36,62,98,2019-01-01,2,1
109,112,221,2019-01-01,2,2
97,60,157,2019-01-01,2,3
60,44,104,2019-01-01,2,4
44,33,77,2019-01-01,2,5
46,43,89,2019-01-01,2,6
39,41,80,2019-01-01,2,7
26,35,61,2019-01-01,2,8
38,19,57,2019-01-01,2,9
47,53,100,2019-01-01,2,10
112,111,223,2019-01-01,2,11
194,180,374,2019-01-01,2,12
306,234,540,2019-01-01,2,13
274,272,546,2019-01-01,2,14
303,315,618,2019-01-01,2,15
249,285,534,2019-01-01,2,16
267,278,545,2019-01-01,2,17
204,236,440,2019-01-01,2,18
124,149,273,2019-01-01,2,19
101,103,204,2019-01-01,2,20
83,75,158,2019-01-01,2,21
31,44,75,2019-01-01,2,22
29,40,69,2019-01-01,2,23
14,16,30,2019-01-01,2,24
11,14,25,2019-01-02,3,1
4,5,9,2019-01-02,3,2
4,4,8,2019-01-02,3,3
11,8,19,2019-01-02,3,4
30,40,70,2019-01-02,3,5
137,76,213,2019-01-02,3,6
266,198,464,2019-01-02,3,7
394,252,646,2019-01-02,3,8
359,277,636,2019-01-02,3,9
454,340,794,2019-01-02,3,10
495,431,926,2019-01-02,3,11
540,492,1032,2019-01-02,3,12
514,493,1007,2019-01-02,3,13
464,485,949,2019-01-02,3,14
522,511,1033,2019-01-02,3,15
495,529,1024,2019-01-02,3,16
485,578,1063,2019-01-02,3,17
360,486,846,2019-01-02,3,18
275,323,598,2019-01-02,3,19
165,212,377,2019-01-02,3,20
128,151,279,2019-01-02,3,21
68,80,148,2019-01-02,3,22
57,73,130,2019-01-02,3,23
30,37,67,2019-01-02,3,24
19,16,35,2019-01-03,4,1
13,12,25,2019-01-03,4,2
7,15,22,2019-01-03,4,3
9,9,18,2019-01-03,4,4
36,31,67,2019-01-03,4,5
120,80,200,2019-01-03,4,6
255,174,429,2019-01-03,4,7
438,274,712,2019-01-03,4,8
359,253,612,2019-01-03,4,9
379,309,688,2019-01-03,4,10
442,378,820,2019-01-03,4,11
482,432,914,2019-01-03,4,12
453,517,970,2019-01-03,4,13
486,528,1014,2019-01-03,4,14
511,500,1011,2019-01-03,4,15
483,587,1070,2019-01-03,4,16
515,583,1098,2019-01-03,4,17
384,496,880,2019-01-03,4,18
280,394,674,2019-01-03,4,19
152,237,389,2019-01-03,4,20
130,132,262,2019-01-03,4,21
87,111,198,2019-01-03,4,22
49,65,114,2019-01-03,4,23
22,42,64,2019-01-03,4,24
18,24,42,2019-01-04,5,1
13,10,23,2019-01-04,5,2
4,10,14,2019-01-04,5,3
10,13,23,2019-01-04,5,4
42,33,75,2019-01-04,5,5
112,86,198,2019-01-04,5,6
273,177,450,2019-01-04,5,7
395,269,664,2019-01-04,5,8
336,271,607,2019-01-04,5,9
408,323,731,2019-01-04,5,10
420,401,821,2019-01-04,5,11
481,441,922,2019-01-04,5,12
494,475,969,2019-01-04,5,13
499,446,945,2019-01-04,5,14
466,511,977,2019-01-04,5,15
434,496,930,2019-01-04,5,16
422,467,889,2019-01-04,5,17
342,400,742,2019-01-04,5,18
299,333,632,2019-01-04,5,19
188,178,366,2019-01-04,5,20
133,151,284,2019-01-04,5,21
103,123,226,2019-01-04,5,22
59,100,159,2019-01-04,5,23
36,55,91,2019-01-04,5,24
23,39,62,2019-01-05,6,1
27,37,64,2019-01-05,6,2
19,23,42,2019-01-05,6,3
14,10,24,2019-01-05,6,4
17,15,32,2019-01-05,6,5
57,36,93,2019-01-05,6,6
63,42,105,2019-01-05,6,7
96,75,171,2019-01-05,6,8
178,126,304,2019-01-05,6,9
299,226,525,2019-01-05,6,10
429,367,796,2019-01-05,6,11
468,392,860,2019-01-05,6,12
428,400,828,2019-01-05,6,13
472,454,926,2019-01-05,6,14
395,435,830,2019-01-05,6,15
364,363,727,2019-01-05,6,16
345,379,724,2019-01-05,6,17
304,346,650,2019-01-05,6,18
240,271,511,2019-01-05,6,19
148,223,371,2019-01-05,6,20
128,150,278,2019-01-05,6,21
88,112,200,2019-01-05,6,22
65,79,144,2019-01-05,6,23
94,91,185,2019-01-05,6,24
33,34,67,2019-01-06,7,1
47,31,78,2019-01-06,7,2
20,25,45,2019-01-06,7,3
17,15,32,2019-01-06,7,4
17,14,31,2019-01-06,7,5
40,32,72,2019-01-06,7,6
33,31,64,2019-01-06,7,7
46,37,83,2019-01-06,7,8
96,52,148,2019-01-06,7,9
184,126,310,2019-01-06,7,10
265,219,484,2019-01-06,7,11
301,268,569,2019-01-06,7,12
376,307,683,2019-01-06,7,13
389,370,759,2019-01-06,7,14
383,403,786,2019-01-06,7,15
305,380,685,2019-01-06,7,16
282,379,661,2019-01-06,7,17
260,312,572,2019-01-06,7,18
165,203,368,2019-01-06,7,19
125,157,282,2019-01-06,7,20
86,98,184,2019-01-06,7,21
44,80,124,2019-01-06,7,22
51,51,102,2019-01-06,7,23
17,28,45,2019-01-06,7,24
9,18,27,2019-01-07,1,1
9,10,19,2019-01-07,1,2
3,7,10,2019-01-07,1,3
17,15,32,2019-01-07,1,4
37,28,65,2019-01-07,1,5
201,159,360,2019-01-07,1,6
489,408,897,2019-01-07,1,7
783,482,1265,2019-01-07,1,8
546,346,892,2019-01-07,1,9
478,380,858,2019-01-07,1,10
444,473,917,2019-01-07,1,11
483,505,988,2019-01-07,1,12
474,527,1001,2019-01-07,1,13
462,533,995,2019-01-07,1,14
507,488,995,2019-01-07,1,15
538,632,1170,2019-01-07,1,16
650,723,1373,2019-01-07,1,17
492,557,1049,2019-01-07,1,18
315,464,779,2019-01-07,1,19
221,262,483,2019-01-07,1,20
126,149,275,2019-01-07,1,21
133,125,258,2019-01-07,1,22
36,85,121,2019-01-07,1,23
22,29,51,2019-01-07,1,24
6,20,26,2019-01-08,2,1
8,7,15,2019-01-08,2,2
8,6,14,2019-01-08,2,3
11,10,21,2019-01-08,2,4
33,26,59,2019-01-08,2,5
199,126,325,2019-01-08,2,6
501,396,897,2019-01-08,2,7
816,517,1333,2019-01-08,2,8
539,397,936,2019-01-08,2,9
464,357,821,2019-01-08,2,10
454,444,898,2019-01-08,2,11
437,450,887,2019-01-08,2,12
450,497,947,2019-01-08,2,13
458,528,986,2019-01-08,2,14
479,548,1027,2019-01-08,2,15
482,627,1109,2019-01-08,2,16
694,731,1425,2019-01-08,2,17
461,606,1067,2019-01-08,2,18
314,417,731,2019-01-08,2,19
235,260,495,2019-01-08,2,20
122,171,293,2019-01-08,2,21
71,129,200,2019-01-08,2,22
59,67,126,2019-01-08,2,23
25,25,50,2019-01-08,2,24
9,22,31,2019-01-09,3,1
10,6,16,2019-01-09,3,2
3,2,5,2019-01-09,3,3
12,13,25,2019-01-09,3,4
43,32,75,2019-01-09,3,5
204,139,343,2019-01-09,3,6
516,381,897,2019-01-09,3,7
800,505,1305,2019-01-09,3,8
533,378,911,2019-01-09,3,9
493,385,878,2019-01-09,3,10
427,408,835,2019-01-09,3,11
429,465,894,2019-01-09,3,12
492,517,1009,2019-01-09,3,13
447,542,989,2019-01-09,3,14
502,551,1053,2019-01-09,3,15
520,643,1163,2019-01-09,3,16
646,700,1346,2019-01-09,3,17
459,571,1030,2019-01-09,3,18
314,382,696,2019-01-09,3,19
202,237,439,2019-01-09,3,20
138,176,314,2019-01-09,3,21
103,122,225,2019-01-09,3,22
78,86,164,2019-01-09,3,23
26,40,66,2019-01-09,3,24
13,17,30,2019-01-10,4,1
13,15,28,2019-01-10,4,2
6,4,10,2019-01-10,4,3
12,16,28,2019-01-10,4,4
36,28,64,2019-01-10,4,5
193,138,331,2019-01-10,4,6
492,392,884,2019-01-10,4,7
824,502,1326,2019-01-10,4,8
527,389,916,2019-01-10,4,9
484,393,877,2019-01-10,4,10
446,464,910,2019-01-10,4,11
463,464,927,2019-01-10,4,12
431,496,927,2019-01-10,4,13
501,539,1040,2019-01-10,4,14
508,522,1030,2019-01-10,4,15
549,648,1197,2019-01-10,4,16
645,741,1386,2019-01-10,4,17
514,583,1097,2019-01-10,4,18
293,477,770,2019-01-10,4,19
211,281,492,2019-01-10,4,20
149,163,312,2019-01-10,4,21
99,114,213,2019-01-10,4,22
62,78,140,2019-01-10,4,23
33,38,71,2019-01-10,4,24
7,19,26,2019-01-11,5,1
6,8,14,2019-01-11,5,2
9,9,18,2019-01-11,5,3
10,10,20,2019-01-11,5,4
34,31,65,2019-01-11,5,5
189,128,317,2019-01-11,5,6
473,372,845,2019-01-11,5,7
757,519,1276,2019-01-11,5,8
457,395,852,2019-01-11,5,9
480,363,843,2019-01-11,5,10
496,442,938,2019-01-11,5,11
559,563,1122,2019-01-11,5,12
631,638,1269,2019-01-11,5,13
591,667,1258,2019-01-11,5,14
544,670,1214,2019-01-11,5,15
507,597,1104,2019-01-11,5,16
528,590,1118,2019-01-11,5,17
443,474,917,2019-01-11,5,18
300,383,683,2019-01-11,5,19
214,230,444,2019-01-11,5,20
148,154,302,2019-01-11,5,21
121,127,248,2019-01-11,5,22
69,113,182,2019-01-11,5,23
55,74,129,2019-01-11,5,24
29,29,58,2019-01-12,6,1
16,29,45,2019-01-12,6,2
14,16,30,2019-01-12,6,3
10,15,25,2019-01-12,6,4
12,14,26,2019-01-12,6,5
62,48,110,2019-01-12,6,6
57,58,115,2019-01-12,6,7
122,90,212,2019-01-12,6,8
220,152,372,2019-01-12,6,9
319,250,569,2019-01-12,6,10
423,388,811,2019-01-12,6,11
418,500,918,2019-01-12,6,12
446,447,893,2019-01-12,6,13
389,400,789,2019-01-12,6,14
344,414,758,2019-01-12,6,15
341,408,749,2019-01-12,6,16
306,348,654,2019-01-12,6,17
331,348,679,2019-01-12,6,18
238,279,517,2019-01-12,6,19
179,171,350,2019-01-12,6,20
168,132,300,2019-01-12,6,21
88,108,196,2019-01-12,6,22
69,100,169,2019-01-12,6,23
40,78,118,2019-01-12,6,24
48,46,94,2019-01-13,7,1
25,43,68,2019-01-13,7,2
20,26,46,2019-01-13,7,3
15,21,36,2019-01-13,7,4
17,15,32,2019-01-13,7,5
37,40,77,2019-01-13,7,6
34,30,64,2019-01-13,7,7
39,43,82,2019-01-13,7,8
71,48,119,2019-01-13,7,9
176,170,346,2019-01-13,7,10
223,252,475,2019-01-13,7,11
256,268,524,2019-01-13,7,12
334,295,629,2019-01-13,7,13
342,330,672,2019-01-13,7,14
346,374,720,2019-01-13,7,15
313,364,677,2019-01-13,7,16
293,290,583,2019-01-13,7,17
306,305,611,2019-01-13,7,18
197,206,403,2019-01-13,7,19
145,194,339,2019-01-13,7,20
110,149,259,2019-01-13,7,21
55,74,129,2019-01-13,7,22
40,43,83,2019-01-13,7,23
15,27,42,2019-01-13,7,24
9,24,33,2019-01-14,1,1
5,9,14,2019-01-14,1,2
7,10,17,2019-01-14,1,3
7,12,19,2019-01-14,1,4
44,40,84,2019-01-14,1,5
211,176,387,2019-01-14,1,6
547,388,935,2019-01-14,1,7
822,570,1392,2019-01-14,1,8
564,380,944,2019-01-14,1,9
473,434,907,2019-01-14,1,10
472,446,918,2019-01-14,1,11
452,488,940,2019-01-14,1,12
511,526,1037,2019-01-14,1,13
485,538,1023,2019-01-14,1,14
554,515,1069,2019-01-14,1,15
538,625,1163,2019-01-14,1,16
620,790,1410,2019-01-14,1,17
466,610,1076,2019-01-14,1,18
327,470,797,2019-01-14,1,19
254,275,529,2019-01-14,1,20
136,142,278,2019-01-14,1,21
90,110,200,2019-01-14,1,22
49,99,148,2019-01-14,1,23
17,35,52,2019-01-14,1,24
9,12,21,2019-01-15,2,1
