Date,Hour,NO2-ug-per-m3,Cars-Direction-1,Cars-Direction-2,Cars-Total,Day-Of-Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December,SchoolHoliday,wind_meters_per_second,rain_millimeters,did_it_rain,air_temp_deg_c,relative_humidity_percent,e5,e10,diesel,Number of vessels
2019-01-01,4,8,60,44,104,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.2,0.2,1,7.8,94.0,1.409,1.389,1.289,3
2019-01-01,5,5,44,33,77,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.1,0.0,1,8.1,94.0,1.41292405063291,1.38710126582279,1.27267088607595,5
2019-01-01,6,5,46,43,89,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.8,0.1,1,8.2,83.0,1.389,1.36552173913043,1.24117391304348,4
2019-01-01,7,5,39,41,80,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.9,0.0,0,7.0,75.0,1.37787640449438,1.3533820224719098,1.2295617977528102,3
2019-01-01,8,6,26,35,61,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.8,0.0,0,7.0,73.0,1.3615,1.3361875,1.20540625,3
2019-01-01,9,6,38,19,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5,0.0,0,7.0,75.0,1.3418571428571398,1.3161428571428602,1.1818571428571398,5
2019-01-01,10,10,47,53,100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.6,0.0,0,7.3,72.0,1.334,1.30466666666667,1.168,7
2019-01-01,11,16,112,111,223,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.2,0.0,1,7.1,69.0,1.37360784313726,1.3469411764705903,1.20929411764706,4
2019-01-01,12,21,194,180,374,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.4,0.0,1,7.0,68.0,1.33923255813953,1.3131860465116298,1.17446511627907,3
2019-01-01,13,23,306,234,540,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.8,0.1,1,6.0,71.0,1.32742857142857,1.30121428571429,1.16292857142857,5
