Date,Hour,NO2-ug-per-m3
01-01-2019,01,19
01-01-2019,02,11
01-01-2019,03,9
01-01-2019,04,7
01-01-2019,05,8
01-01-2019,06,5
01-01-2019,07,5
01-01-2019,08,5
01-01-2019,09,6
01-01-2019,10,6
01-01-2019,11,10
01-01-2019,12,16
01-01-2019,13,21
01-01-2019,14,23
01-01-2019,15,27
01-01-2019,16,24
01-01-2019,17,22
01-01-2019,18,22
01-01-2019,19,21
01-01-2019,20,19
01-01-2019,21,17
01-01-2019,22,15
01-01-2019,23,12
01-01-2019,24,12
02-01-2019,01,10
2019-01-02,02,7
2019-01-02,03,8
2019-01-02,04,11
2019-01-02,05,25
2019-01-02,06,65
2019-01-02,07,71
2019-01-02,08,70
2019-01-02,09,71
2019-01-02,10,73
2019-01-02,11,79
2019-01-02,12,82
2019-01-02,13,72
2019-01-02,14,83
2019-01-02,15,87
2019-01-02,16,93
2019-01-02,1-1-17
2019-01-02,4-1-18
2019-01-02,4-1-19
2019-01-02,5-1-20
2019-01-02,21,86
2019-01-02,22,62
2019-01-02,23,51
2019-01-02,24,44
2019-01-03,01,32
2019-01-03,02,37
2019-01-03,03,43
2019-01-03,04,48
2019-01-03,05,71
2019-01-03,06,88
2019-01-03,7-1-07
2019-01-03,9-1-08
2019-01-03,9-1-09
2019-01-03,9-1-10
2019-01-03,8-1-11
2019-01-03,3-1-12
2019-01-03,1-1-13
2019-01-03,6-1-14
2019-01-03,2-1-15
2019-01-03,1-1-16
2019-01-03,17,98
2019-01-03,0-1-18
2019-01-03,2-1-19
2019-01-03,20,89
2019-01-03,21,83
2019-01-03,22,70
2019-01-03,23,55
2019-01-03,24,49
2019-01-04,01,28
2019-01-04,02,19
2019-01-04,03,17
2019-01-04,04,18
2019-01-04,05,25
2019-01-04,06,40
2019-01-04,07,55
2019-01-04,08,60
2019-01-04,09,60
2019-01-04,10,71
2019-01-04,11,58
2019-01-04,12,55
2019-01-04,13,68
2019-01-04,14,83
2019-01-04,15,80
2019-01-04,16,83
2019-01-04,17,83
2019-01-04,18,65
2019-01-04,19,68
2019-01-04,20,47
2019-01-04,21,28
2019-01-04,22,23
2019-01-04,23,18
2019-01-04,24,16
2019-01-05,01,14
2019-01-05,02,9
2019-01-05,03,10
2019-01-05,04,8
2019-01-05,05,20
2019-01-05,06,38
2019-01-05,07,43
2019-01-05,08,48
2019-01-05,09,63
2019-01-05,0-1-10
2019-01-05,11,93
2019-01-05,12,98
2019-01-05,13,97
2019-01-05,14,95
2019-01-05,15,88
2019-01-05,16,95
2019-01-05,17,98
2019-01-05,18,91
2019-01-05,19,99
2019-01-05,20,92
2019-01-05,21,92
2019-01-05,22,77
2019-01-05,23,73
2019-01-05,24,70
2019-01-06,01,57
2019-01-06,02,44
2019-01-06,03,33
2019-01-06,04,34
2019-01-06,05,38
2019-01-06,06,37
2019-01-06,07,34
2019-01-06,08,27
2019-01-06,09,37
2019-01-06,10,48
2019-01-06,11,58
2019-01-06,12,55
2019-01-06,13,60
2019-01-06,14,64
2019-01-06,15,49
2019-01-06,16,60
2019-01-06,17,73
2019-01-06,18,83
2019-01-06,19,61
2019-01-06,20,67
2019-01-06,21,53
2019-01-06,22,45
2019-01-06,23,34
2019-01-06,24,22
2019-01-07,01,13
2019-01-07,02,15
2019-01-07,03,10
2019-01-07,04,17
2019-01-07,05,38
2019-01-07,06,56
2019-01-07,0-1-07
2019-01-07,08,73
2019-01-07,09,97
2019-01-07,3-1-10
2019-01-07,11,86
2019-01-07,12,85
2019-01-07,13,63
2019-01-07,14,42
2019-01-07,15,41
2019-01-07,16,49
2019-01-07,17,35
