NO2-ug-per-m3,Cars-Direction-1,Cars-Direction-2,Cars-Total,Day-Of-Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December,SchoolHoliday,wind_meters_per_second,rain_millimeters,did_it_rain,air_temp_deg_c,relative_humidity_percent,Unnamed: 0,e5,e10,diesel,Number of vessels,DateTime,DaySin,DayCos,WeekSin,WeekCos,MonthSin,MonthCos,YearSin,YearCos
19.0,36,62,98,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.8,0.0,0,7.8,84.0,0,1.409,1.389,1.289,6,2019-01-01 00:00:00,0.0,1.0,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
11.0,109,112,221,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.2,0.0,0,8.0,81.0,1,1.409,1.389,1.289,4,2019-01-01 01:00:00,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
9.0,97,60,157,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0.0,0,8.3,78.0,2,1.409,1.389,1.289,2,2019-01-01 02:00:00,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
7.0,60,44,104,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.4,0.0,1,7.5,94.0,3,1.409,1.389,1.289,4,2019-01-01 03:00:00,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
8.0,44,33,77,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.2,0.2,1,7.8,94.0,4,1.409,1.389,1.289,3,2019-01-01 04:00:00,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
5.0,46,43,89,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.1,0.0,1,8.1,94.0,5,1.412924051,1.387101266,1.272670886,5,2019-01-01 05:00:00,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
5.0,39,41,80,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.8,0.1,1,8.2,83.0,6,1.389,1.365521739,1.241173913,4,2019-01-01 06:00:00,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
5.0,26,35,61,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.9,0.0,0,7.0,75.0,7,1.377876404,1.353382022,1.229561798,3,2019-01-01 07:00:00,0.9659258262890683,-0.25881904510252085,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
6.0,38,19,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.8,0.0,0,7.0,73.0,8,1.3615,1.3361875,1.20540625,3,2019-01-01 08:00:00,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
6.0,47,53,100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5,0.0,0,7.0,75.0,9,1.341857143,1.316142857,1.181857143,5,2019-01-01 09:00:00,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
10.0,112,111,223,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.6,0.0,0,7.3,72.0,10,1.334,1.304666667,1.168,7,2019-01-01 10:00:00,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
16.0,194,180,374,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.2,0.0,1,7.1,69.0,11,1.373607843,1.346941176,1.209294118,4,2019-01-01 11:00:00,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
21.0,306,234,540,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.4,0.0,1,7.0,68.0,12,1.339232558,1.313186047,1.174465116,3,2019-01-01 12:00:00,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
23.0,274,272,546,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.8,0.1,1,6.0,71.0,13,1.327428571,1.301214286,1.162928571,5,2019-01-01 13:00:00,-0.25881904510252035,-0.9659258262890684,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
27.0,303,315,618,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.9,0.0,0,6.3,61.0,14,1.313830508,1.288830508,1.149169492,6,2019-01-01 14:00:00,-0.5000000000000001,-0.8660254037844386,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
24.0,249,285,534,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0,0.0,1,4.7,68.0,15,1.303074074,1.279555556,1.145296296,6,2019-01-01 15:00:00,-0.7071067811865475,-0.7071067811865477,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
22.0,267,278,545,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0,0.0,0,4.9,70.0,16,1.343814815,1.318777778,1.189518519,3,2019-01-01 16:00:00,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.017213356155834685,0.9998518392091162
