,Date,Hour,e5,e10,diesel
0,2019-01-01,0,1.409,1.389,1.289
1,2019-01-01,1,1.409,1.389,1.289
2,2019-01-01,2,1.409,1.389,1.289
3,2019-01-01,3,1.409,1.389,1.289
4,2019-01-01,4,1.409,1.389,1.289
5,2019-01-01,5,1.412924051,1.387101266,1.272670886
6,2019-01-01,6,1.389,1.365521739,1.241173913
7,2019-01-01,7,1.377876404,1.353382022,1.229561798
8,2019-01-01,8,1.3615,1.3361875,1.20540625
9,2019-01-01,9,1.341857143,1.316142857,1.181857143
10,2019-01-01,10,1.334,1.304666667,1.168
11,2019-01-01,11,1.373607843,1.346941176,1.209294118
12,2019-01-01,12,1.339232558,1.313186047,1.174465116
13,2019-01-01,13,1.327428571,1.301214286,1.162928571
14,2019-01-01,14,1.313830508,1.288830508,1.149169492
15,2019-01-01,15,1.303074074,1.279555556,1.145296296
16,2019-01-01,16,1.343814815,1.318777778,1.189518519
17,2019-01-01,17,1.314,1.290176471,1.162088235
18,2019-01-01,18,1.304714286,1.280428571,1.160428571
19,2019-01-01,19,1.289,1.2615,1.139
20,2019-01-01,20,1.321358491,1.295627358,1.173245283
21,2019-01-01,21,1.353716981,1.329754717,1.207490566
22,2019-01-01,22,1.429,1.409,1.299
23,2019-01-01,23,1.424,1.404,1.297333333
24,2019-01-02,0,1.419,1.399,1.295666667
25,2019-01-02,1,1.414,1.394,1.294
26,2019-01-02,2,1.409,1.389,1.292333333
27,2019-01-02,3,1.404,1.384,1.290666667
28,2019-01-02,4,1.399,1.379,1.289
29,2019-01-02,5,1.404529412,1.379117647,1.265705882
30,2019-01-02,6,1.394352113,1.372943662,1.248014085
31,2019-01-02,7,1.383038462,1.355538462,1.234576923
32,2019-01-02,8,1.373588235,1.347705882,1.228058824
33,2019-01-02,9,1.366204301,1.340290323,1.217709677
34,2019-01-02,10,1.358255319,1.331765957,1.20112766
35,2019-01-02,11,1.39359854,1.366445255,1.235934307
36,2019-01-02,12,1.364844156,1.340428571,1.206922078
37,2019-01-02,13,1.348850746,1.323179104,1.190268657
38,2019-01-02,14,1.317174603,1.293285714,1.169714286
39,2019-01-02,15,1.307292683,1.279853659,1.165341463
40,2019-01-02,16,1.329056497,1.302841808,1.186570621
41,2019-01-02,17,1.297648649,1.271094595,1.158459459
42,2019-01-02,18,1.284,1.2535,1.15125
43,2019-01-02,19,1.265129032,1.240935484,1.143193548
44,2019-01-02,20,1.274,1.2465,1.1515
45,2019-01-02,21,1.333313725,1.304294118,1.20272549
46,2019-01-02,22,1.380428571,1.409,1.253285714
47,2019-01-02,23,1.38352381,1.404,1.255904762
48,2019-01-03,0,1.386619048,1.399,1.25852381
49,2019-01-03,1,1.389714286,1.394,1.261142857
50,2019-01-03,2,1.392809524,1.389,1.263761905
51,2019-01-03,3,1.395904762,1.384,1.266380952
52,2019-01-03,4,1.399,1.379,1.269
53,2019-01-03,5,1.392039216,1.364882353,1.260568627
54,2019-01-03,6,1.369769231,1.343615385,1.245346154
55,2019-01-03,7,1.349212766,1.324,1.223680851
56,2019-01-03,8,1.339704225,1.312380282,1.209704225
57,2019-01-03,9,1.324833333,1.298444444,1.193305556
58,2019-01-03,10,1.317591549,1.28984507,1.181957746
59,2019-01-03,11,1.356762238,1.331587413,1.211587413
60,2019-01-03,12,1.338195402,1.314977011,1.183367816
61,2019-01-03,13,1.3315,1.304375,1.171875
62,2019-01-03,14,1.305341463,1.274121951,1.150707317
63,2019-01-03,15,1.291666667,1.267,1.147222222
64,2019-01-03,16,1.336134503,1.312099415,1.179935673
65,2019-01-03,17,1.3045625,1.2784375,1.145
66,2019-01-03,18,1.281125,1.252,1.134125
67,2019-01-03,19,1.267173913,1.241695652,1.122565217
68,2019-01-03,20,1.262333333,1.240111111,1.121222222
69,2019-01-03,21,1.32654717,1.297490566,1.179566038
70,2019-01-03,22,1.429,1.409,1.299
71,2019-01-03,23,1.427333333,1.407333333,1.294
72,2019-01-04,0,1.425666667,1.405666667,1.289
73,2019-01-04,1,1.424,1.404,1.284
74,2019-01-04,2,1.422333333,1.402333333,1.279
75,2019-01-04,3,1.420666667,1.400666667,1.274
76,2019-01-04,4,1.419,1.399,1.269
77,2019-01-04,5,1.393646465,1.366272727,1.255464646
78,2019-01-04,6,1.351528736,1.32716092,1.207735632
79,2019-01-04,7,1.340355932,1.317305085,1.192389831
80,2019-01-04,8,1.326349398,1.298518072,1.17960241
81,2019-01-04,9,1.309057471,1.283597701,1.176068966
82,2019-01-04,10,1.299,1.272943662,1.16984507
83,2019-01-04,11,1.342238095,1.316142857,1.21747619
84,2019-01-04,12,1.315521739,1.292333333,1.191463768
85,2019-01-04,13,1.309645161,1.284322581,1.184967742
86,2019-01-04,14,1.294492958,1.270971831,1.169140845
87,2019-01-04,15,1.2824,1.2604,1.08326
88,2019-01-04,16,1.319057471,1.294977011,1.191126437
89,2019-01-04,17,1.292582888,1.270176471,1.158358289
90,2019-01-04,18,1.268245283,1.245981132,1.124471698
91,2019-01-04,19,1.264714286,1.243285714,1.124714286
92,2019-01-04,20,1.297482143,1.271857143,1.155964286
93,2019-01-04,21,1.33025,1.300428571,1.187214286
94,2019-01-04,22,1.409,1.389,1.279
95,2019-01-04,23,1.412333333,1.392333333,1.280666667
96,2019-01-05,0,1.415666667,1.395666667,1.282333333
97,2019-01-05,1,1.419,1.399,1.284
98,2019-01-05,2,1.422333333,1.402333333,1.285666667
99,2019-01-05,3,1.425666667,1.405666667,1.287333333
100,2019-01-05,4,1.429,1.409,1.289
101,2019-01-05,5,1.393210526,1.367947368,1.258473684
102,2019-01-05,6,1.34878022,1.323945055,1.210538462
103,2019-01-05,7,1.326857143,1.301857143,1.186857143
104,2019-01-05,8,1.31852381,1.289952381,1.17852381
105,2019-01-05,9,1.308583333,1.28525,1.169416667
106,2019-01-05,10,1.305458333,1.279625,1.166083333
107,2019-01-05,11,1.343915254,1.317644068,1.204932203
108,2019-01-05,12,1.31874026,1.295363636,1.17912987
109,2019-01-05,13,1.307783784,1.284135135,1.172513514
110,2019-01-05,14,1.289561798,1.266191011,1.154842697
111,2019-01-05,15,1.27687234,1.254319149,1.144957447
112,2019-01-05,16,1.3108,1.2865,1.17555
113,2019-01-05,17,1.287723404,1.263893617,1.148361702
114,2019-01-05,18,1.299,1.279,1.159
115,2019-01-05,19,1.290081081,1.269675676,1.150013514
116,2019-01-05,20,1.281162162,1.260351351,1.141027027
117,2019-01-05,21,1.3378,1.3128,1.197
118,2019-01-05,22,1.409,1.389,1.279
119,2019-01-05,23,1.412333333,1.392333333,1.280666667
120,2019-01-06,0,1.415666667,1.395666667,1.282333333
121,2019-01-06,1,1.419,1.399,1.284
122,2019-01-06,2,1.422333333,1.402333333,1.285666667
123,2019-01-06,3,1.425666667,1.405666667,1.287333333
124,2019-01-06,4,1.429,1.409,1.289
125,2019-01-06,5,1.395829268,1.370585366,1.257414634
126,2019-01-06,6,1.372066667,1.3498,1.231933333
127,2019-01-06,7,1.348375,1.324,1.204
128,2019-01-06,8,1.333666667,1.311666667,1.173666667
129,2019-01-06,9,1.329777778,1.302666667,1.157
130,2019-01-06,10,1.314526316,1.287684211,1.146631579
131,2019-01-06,11,1.354357143,1.329625,1.186946429
132,2019-01-06,12,1.319365854,1.294,1.158146341
133,2019-01-06,13,1.30340367,1.281018349,1.14606422
134,2019-01-06,14,1.289963855,1.267072289,1.139361446
135,2019-01-06,15,1.282902439,1.261439024,1.140707317
136,2019-01-06,16,1.317012048,1.293518072,1.175325301
137,2019-01-06,17,1.287101266,1.265582278,1.147101266
138,2019-01-06,18,1.292333333,1.269,1.152333333
139,2019-01-06,19,1.266142857,1.246142857,1.124238095
140,2019-01-06,20,1.302971429,1.280471429,1.161519048
141,2019-01-06,21,1.3398,1.3148,1.1988
142,2019-01-06,22,1.409,1.389,1.279
143,2019-01-06,23,1.412333333,1.392333333,1.280666667
144,2019-01-07,0,1.415666667,1.395666667,1.282333333
145,2019-01-07,1,1.419,1.399,1.284
146,2019-01-07,2,1.422333333,1.402333333,1.285666667
147,2019-01-07,3,1.425666667,1.405666667,1.287333333
148,2019-01-07,4,1.429,1.409,1.289
149,2019-01-07,5,1.388191919,1.363242424,1.254656566
150,2019-01-07,6,1.355555556,1.333555556,1.222777778
151,2019-01-07,7,1.345530612,1.321244898,1.214102041
152,2019-01-07,8,1.327571429,1.304357143,1.213642857
153,2019-01-07,9,1.315111111,1.290666667,1.204777778
154,2019-01-07,10,1.303615385,1.278307692,1.196538462
155,2019-01-07,11,1.344352113,1.318295775,1.239
156,2019-01-07,12,1.316307692,1.292717949,1.207076923
157,2019-01-07,13,1.304486726,1.280415929,1.187141593
158,2019-01-07,14,1.28823913,1.26476087,1.168891304
159,2019-01-07,15,1.28625,1.26225,1.160375
160,2019-01-07,16,1.31810828,1.296006369,1.193140127
161,2019-01-07,17,1.295511628,1.270395349,1.165860465
162,2019-01-07,18,1.284762712,1.261881356,1.145610169
163,2019-01-07,19,1.284,1.2615,1.144
164,2019-01-07,20,1.280176471,1.259,1.133705882
165,2019-01-07,21,1.335949153,1.309338983,1.193576271
166,2019-01-07,22,1.389,1.369,1.239
167,2019-01-07,23,1.395666667,1.375666667,1.247333333
168,2019-01-08,0,1.402333333,1.382333333,1.255666667
169,2019-01-08,1,1.409,1.389,1.264
170,2019-01-08,2,1.415666667,1.395666667,1.272333333
171,2019-01-08,3,1.422333333,1.402333333,1.280666667
172,2019-01-08,4,1.429,1.409,1.289
173,2019-01-08,5,1.392267327,1.366920792,1.250287129
174,2019-01-08,6,1.371125,1.347875,1.222625
175,2019-01-08,7,1.366818182,1.341363636,1.206272727
176,2019-01-08,8,1.360333333,1.337222222,1.181
177,2019-01-08,9,1.355513761,1.331018349,1.173862385
178,2019-01-08,10,1.347133333,1.321,1.1618
179,2019-01-08,11,1.3880625,1.362828125,1.19946875
180,2019-01-08,12,1.361747253,1.338450549,1.179879121
181,2019-01-08,13,1.346906977,1.324465116,1.178186047
182,2019-01-08,14,1.328578947,1.304578947,1.159421053
183,2019-01-08,15,1.319810811,1.292243243,1.147378378
184,2019-01-08,16,1.358324324,1.334810811,1.186567568
185,2019-01-08,17,1.327645833,1.303479167,1.1643125
186,2019-01-08,18,1.309847458,1.28459322,1.154169492
187,2019-01-08,19,1.296735849,1.270886792,1.146169811
188,2019-01-08,20,1.292333333,1.262333333,1.142333333
189,2019-01-08,21,1.352,1.325,1.202
190,2019-01-08,22,1.389,1.369,1.239
191,2019-01-08,23,1.378166667,1.358166667,1.229
