,Hours,Number of vessels
0,2019-01-01 00:00:00,6
1,2019-01-01 01:00:00,4
2,2019-01-01 02:00:00,2
3,2019-01-01 03:00:00,4
4,2019-01-01 04:00:00,3
5,2019-01-01 05:00:00,5
6,2019-01-01 06:00:00,4
7,2019-01-01 07:00:00,3
8,2019-01-01 08:00:00,3
9,2019-01-01 09:00:00,5
10,2019-01-01 10:00:00,7
11,2019-01-01 11:00:00,4
12,2019-01-01 12:00:00,3
13,2019-01-01 13:00:00,5
14,2019-01-01 14:00:00,6
15,2019-01-01 15:00:00,6
16,2019-01-01 16:00:00,3
17,2019-01-01 17:00:00,6
18,2019-01-01 18:00:00,5
19,2019-01-01 19:00:00,5
20,2019-01-01 20:00:00,2
21,2019-01-01 21:00:00,1
22,2019-01-01 22:00:00,4
23,2019-01-01 23:00:00,3
24,2019-01-02 00:00:00,2
25,2019-01-02 01:00:00,2
26,2019-01-02 02:00:00,2
27,2019-01-02 03:00:00,3
28,2019-01-02 04:00:00,5
29,2019-01-02 05:00:00,3
30,2019-01-02 06:00:00,4
31,2019-01-02 07:00:00,4
32,2019-01-02 08:00:00,5
33,2019-01-02 09:00:00,6
34,2019-01-02 10:00:00,4
35,2019-01-02 11:00:00,4
36,2019-01-02 12:00:00,3
37,2019-01-02 13:00:00,5
38,2019-01-02 14:00:00,6
39,2019-01-02 15:00:00,6
40,2019-01-02 16:00:00,7
41,2019-01-02 17:00:00,5
42,2019-01-02 18:00:00,4
43,2019-01-02 19:00:00,2
44,2019-01-02 20:00:00,1
45,2019-01-02 21:00:00,2
46,2019-01-02 22:00:00,2
47,2019-01-02 23:00:00,2
48,2019-01-03 00:00:00,1
49,2019-01-03 01:00:00,4
50,2019-01-03 02:00:00,4
51,2019-01-03 03:00:00,5
52,2019-01-03 04:00:00,3
53,2019-01-03 05:00:00,6
54,2019-01-03 06:00:00,5
55,2019-01-03 07:00:00,4
56,2019-01-03 08:00:00,2
57,2019-01-03 09:00:00,4
58,2019-01-03 10:00:00,6
59,2019-01-03 11:00:00,7
60,2019-01-03 12:00:00,6
61,2019-01-03 13:00:00,7
62,2019-01-03 14:00:00,5
63,2019-01-03 15:00:00,6
64,2019-01-03 16:00:00,4
65,2019-01-03 17:00:00,7
66,2019-01-03 18:00:00,6
67,2019-01-03 19:00:00,3
68,2019-01-03 20:00:00,0
69,2019-01-03 21:00:00,2
70,2019-01-03 22:00:00,6
71,2019-01-03 23:00:00,5
72,2019-01-04 00:00:00,3
73,2019-01-04 01:00:00,3
74,2019-01-04 02:00:00,2
75,2019-01-04 03:00:00,2
76,2019-01-04 04:00:00,4
77,2019-01-04 05:00:00,4
78,2019-01-04 06:00:00,3
79,2019-01-04 07:00:00,5
80,2019-01-04 08:00:00,7
81,2019-01-04 09:00:00,9
82,2019-01-04 10:00:00,5
83,2019-01-04 11:00:00,1
84,2019-01-04 12:00:00,3
85,2019-01-04 13:00:00,6
86,2019-01-04 14:00:00,5
87,2019-01-04 15:00:00,5
88,2019-01-04 16:00:00,5
89,2019-01-04 17:00:00,6
90,2019-01-04 18:00:00,1
91,2019-01-04 19:00:00,2
92,2019-01-04 20:00:00,8
93,2019-01-04 21:00:00,7
94,2019-01-04 22:00:00,10
95,2019-01-04 23:00:00,8
96,2019-01-05 00:00:00,9
97,2019-01-05 01:00:00,7
98,2019-01-05 02:00:00,4
99,2019-01-05 03:00:00,4
100,2019-01-05 04:00:00,7
101,2019-01-05 05:00:00,9
102,2019-01-05 06:00:00,5
103,2019-01-05 07:00:00,4
104,2019-01-05 08:00:00,8
105,2019-01-05 09:00:00,11
106,2019-01-05 10:00:00,10
107,2019-01-05 11:00:00,12
108,2019-01-05 12:00:00,10
109,2019-01-05 13:00:00,11
110,2019-01-05 14:00:00,12
111,2019-01-05 15:00:00,9
112,2019-01-05 16:00:00,8
113,2019-01-05 17:00:00,10
114,2019-01-05 18:00:00,7
115,2019-01-05 19:00:00,8
116,2019-01-05 20:00:00,11
117,2019-01-05 21:00:00,11
118,2019-01-05 22:00:00,10
119,2019-01-05 23:00:00,8
120,2019-01-06 00:00:00,5
121,2019-01-06 01:00:00,5
122,2019-01-06 02:00:00,6
123,2019-01-06 03:00:00,7
124,2019-01-06 04:00:00,6
125,2019-01-06 05:00:00,7
126,2019-01-06 06:00:00,8
127,2019-01-06 07:00:00,9
128,2019-01-06 08:00:00,4
129,2019-01-06 09:00:00,7
130,2019-01-06 10:00:00,10
131,2019-01-06 11:00:00,12
132,2019-01-06 12:00:00,12
133,2019-01-06 13:00:00,9
134,2019-01-06 14:00:00,12
135,2019-01-06 15:00:00,9
136,2019-01-06 16:00:00,8
137,2019-01-06 17:00:00,6
138,2019-01-06 18:00:00,9
139,2019-01-06 19:00:00,9
140,2019-01-06 20:00:00,8
141,2019-01-06 21:00:00,12
142,2019-01-06 22:00:00,9
143,2019-01-06 23:00:00,7
144,2019-01-07 00:00:00,3
145,2019-01-07 01:00:00,5
146,2019-01-07 02:00:00,7
147,2019-01-07 03:00:00,5
148,2019-01-07 04:00:00,2
149,2019-01-07 05:00:00,7
150,2019-01-07 06:00:00,10
151,2019-01-07 07:00:00,9
152,2019-01-07 08:00:00,9
153,2019-01-07 09:00:00,11
154,2019-01-07 10:00:00,12
155,2019-01-07 11:00:00,11
156,2019-01-07 12:00:00,6
157,2019-01-07 13:00:00,5
158,2019-01-07 14:00:00,5
159,2019-01-07 15:00:00,12
