Date,Hour,NO2-ug-per-m3
2019-01-01,1,19
2019-01-01,2,11
2019-01-01,3,9
2019-01-01,4,7
2019-01-01,5,8
2019-01-01,6,5
2019-01-01,7,5
2019-01-01,8,5
2019-01-01,9,6
2019-01-01,10,6
2019-01-01,11,10
2019-01-01,12,16
2019-01-01,13,21
2019-01-01,14,23
2019-01-01,15,27
2019-01-01,16,24
2019-01-01,17,22
2019-01-01,18,22
2019-01-01,19,21
2019-01-01,20,19
2019-01-01,21,17
2019-01-01,22,15
2019-01-01,23,12
2019-01-01,24,12
2019-01-02,1,10
2019-01-02,2,7
2019-01-02,3,8
2019-01-02,4,11
2019-01-02,5,25
2019-01-02,6,65
2019-01-02,7,71
2019-01-02,8,70
2019-01-02,9,71
2019-01-02,10,73
2019-01-02,11,79
2019-01-02,12,82
2019-01-02,13,72
2019-01-02,14,83
2019-01-02,15,87
2019-01-02,16,93
2019-01-02,1-1-17
2019-01-02,4-1-18
2019-01-02,4-1-19
2019-01-02,5-1-20
2019-01-02,21,86
2019-01-02,22,62
2019-01-02,23,51
2019-01-02,24,44
2019-01-03,1,32
2019-01-03,2,37
2019-01-03,3,43
2019-01-03,4,48
2019-01-03,5,71
2019-01-03,6,88
2019-01-03,7-1-07
2019-01-03,9-1-08
2019-01-03,9-1-09
2019-01-03,9-1-10
2019-01-03,8-1-11
2019-01-03,3-1-12
2019-01-03,1-1-13
2019-01-03,6-1-14
2019-01-03,2-1-15
2019-01-03,1-1-16
2019-01-03,17,98
2019-01-03,-1-18
2019-01-03,2-1-19
2019-01-03,20,89
2019-01-03,21,83
2019-01-03,22,70
2019-01-03,23,55
2019-01-03,24,49
2019-01-04,1,28
2019-01-04,2,19
2019-01-04,3,17
2019-01-04,4,18
2019-01-04,5,25
2019-01-04,6,40
2019-01-04,7,55
2019-01-04,8,60
2019-01-04,9,60
2019-01-04,10,71
2019-01-04,11,58
2019-01-04,12,55
2019-01-04,13,68
2019-01-04,14,83
2019-01-04,15,80
2019-01-04,16,83
2019-01-04,17,83
2019-01-04,18,65
2019-01-04,19,68
2019-01-04,20,47
2019-01-04,21,28
2019-01-04,22,23
2019-01-04,23,18
2019-01-04,24,16
2019-01-05,1,14
2019-01-05,2,9
2019-01-05,3,10
2019-01-05,4,8
2019-01-05,5,20
2019-01-05,6,38
2019-01-05,7,43
2019-01-05,8,48
2019-01-05,9,63
2019-01-05,-1-10
2019-01-05,11,93
2019-01-05,12,98
2019-01-05,13,97
2019-01-05,14,95
2019-01-05,15,88
2019-01-05,16,95
2019-01-05,17,98
2019-01-05,18,91
2019-01-05,19,99
2019-01-05,20,92
2019-01-05,21,92
2019-01-05,22,77
2019-01-05,23,73
2019-01-05,24,70
2019-01-06,1,57
2019-01-06,2,44
2019-01-06,3,33
2019-01-06,4,34
2019-01-06,5,38
2019-01-06,6,37
2019-01-06,7,34
2019-01-06,8,27
2019-01-06,9,37
2019-01-06,10,48
2019-01-06,11,58
2019-01-06,12,55
2019-01-06,13,60
2019-01-06,14,64
2019-01-06,15,49
2019-01-06,16,60
2019-01-06,17,73
2019-01-06,18,83
2019-01-06,19,61
2019-01-06,20,67
2019-01-06,21,53
2019-01-06,22,45
2019-01-06,23,34
2019-01-06,24,22
2019-01-07,1,13
2019-01-07,2,15
2019-01-07,3,10
2019-01-07,4,17
2019-01-07,5,38
2019-01-07,6,56
2019-01-07,-1-07
2019-01-07,8,73
2019-01-07,9,97
2019-01-07,3-1-10
2019-01-07,11,86
2019-01-07,12,85
2019-01-07,13,63
2019-01-07,14,42
2019-01-07,15,41
2019-01-07,16,49
2019-01-07,17,35
2019-01-07,18,30
2019-01-07,19,25
2019-01-07,20,20
2019-01-07,21,16
2019-01-07,22,11
2019-01-07,23,12
2019-01-07,24,7
2019-01-08,1,5
2019-01-08,2,2
2019-01-08,3,2
2019-01-08,4,2
2019-01-08,5,7
2019-01-08,6,19
2019-01-08,7,40
2019-01-08,8,53
2019-01-08,9,61
2019-01-08,10,60
2019-01-08,11,57
2019-01-08,12,70
2019-01-08,13,72
2019-01-08,14,79
2019-01-08,15,82
2019-01-08,16,85
2019-01-08,17,81
2019-01-08,18,69
2019-01-08,19,59
2019-01-08,20,43
2019-01-08,21,25
2019-01-08,22,15
2019-01-08,23,15
2019-01-08,24,8
2019-01-09,1,6
2019-01-09,2,5
2019-01-09,3,5
2019-01-09,4,7
2019-01-09,5,24
2019-01-09,6,62
2019-01-09,7,91
2019-01-09,1-1-08
2019-01-09,9,99
2019-01-09,10,85
2019-01-09,11,82
