Row,Number of vessels,Date,Hour
0,6,2019-01-01,0
1,4,2019-01-01,1
2,2,2019-01-01,2
3,4,2019-01-01,3
4,3,2019-01-01,4
5,5,2019-01-01,5
6,4,2019-01-01,6
7,3,2019-01-01,7
8,3,2019-01-01,8
9,5,2019-01-01,9
10,7,2019-01-01,10
11,4,2019-01-01,11
12,3,2019-01-01,12
13,5,2019-01-01,13
14,6,2019-01-01,14
15,6,2019-01-01,15
16,3,2019-01-01,16
17,6,2019-01-01,17
18,5,2019-01-01,18
19,5,2019-01-01,19
20,2,2019-01-01,20
21,1,2019-01-01,21
22,4,2019-01-01,22
23,3,2019-01-01,23
24,2,2019-01-02,0
25,2,2019-01-02,1
26,2,2019-01-02,2
27,3,2019-01-02,3
28,5,2019-01-02,4
29,3,2019-01-02,5
30,4,2019-01-02,6
31,4,2019-01-02,7
32,5,2019-01-02,8
33,6,2019-01-02,9
34,4,2019-01-02,10
35,4,2019-01-02,11
36,3,2019-01-02,12
37,5,2019-01-02,13
38,6,2019-01-02,14
39,6,2019-01-02,15
40,7,2019-01-02,16
41,5,2019-01-02,17
42,4,2019-01-02,18
43,2,2019-01-02,19
44,1,2019-01-02,20
45,2,2019-01-02,21
46,2,2019-01-02,22
47,2,2019-01-02,23
48,1,2019-01-03,0
49,4,2019-01-03,1
50,4,2019-01-03,2
51,5,2019-01-03,3
52,3,2019-01-03,4
53,6,2019-01-03,5
54,5,2019-01-03,6
55,4,2019-01-03,7
56,2,2019-01-03,8
57,4,2019-01-03,9
58,6,2019-01-03,10
59,7,2019-01-03,11
60,6,2019-01-03,12
61,7,2019-01-03,13
62,5,2019-01-03,14
63,6,2019-01-03,15
64,4,2019-01-03,16
65,7,2019-01-03,17
66,6,2019-01-03,18
67,3,2019-01-03,19
68,0,2019-01-03,20
69,2,2019-01-03,21
70,6,2019-01-03,22
71,5,2019-01-03,23
72,3,2019-01-04,0
73,3,2019-01-04,1
74,2,2019-01-04,2
75,2,2019-01-04,3
76,4,2019-01-04,4
77,4,2019-01-04,5
78,3,2019-01-04,6
79,5,2019-01-04,7
80,7,2019-01-04,8
81,9,2019-01-04,9
82,5,2019-01-04,10
83,1,2019-01-04,11
84,3,2019-01-04,12
85,6,2019-01-04,13
86,5,2019-01-04,14
87,5,2019-01-04,15
88,5,2019-01-04,16
89,6,2019-01-04,17
90,1,2019-01-04,18
91,2,2019-01-04,19
92,8,2019-01-04,20
93,7,2019-01-04,21
94,10,2019-01-04,22
95,8,2019-01-04,23
96,9,2019-01-05,0
97,7,2019-01-05,1
98,4,2019-01-05,2
99,4,2019-01-05,3
100,7,2019-01-05,4
101,9,2019-01-05,5
102,5,2019-01-05,6
103,4,2019-01-05,7
104,8,2019-01-05,8
105,11,2019-01-05,9
106,10,2019-01-05,10
107,12,2019-01-05,11
108,10,2019-01-05,12
109,11,2019-01-05,13
110,12,2019-01-05,14
111,9,2019-01-05,15
112,8,2019-01-05,16
113,10,2019-01-05,17
114,7,2019-01-05,18
115,8,2019-01-05,19
116,11,2019-01-05,20
117,11,2019-01-05,21
118,10,2019-01-05,22
119,8,2019-01-05,23
120,5,2019-01-06,0
121,5,2019-01-06,1
122,6,2019-01-06,2
123,7,2019-01-06,3
124,6,2019-01-06,4
125,7,2019-01-06,5
126,8,2019-01-06,6
127,9,2019-01-06,7
128,4,2019-01-06,8
129,7,2019-01-06,9
130,10,2019-01-06,10
131,12,2019-01-06,11
132,12,2019-01-06,12
133,9,2019-01-06,13
134,12,2019-01-06,14
135,9,2019-01-06,15
136,8,2019-01-06,16
137,6,2019-01-06,17
138,9,2019-01-06,18
139,9,2019-01-06,19
140,8,2019-01-06,20
141,12,2019-01-06,21
142,9,2019-01-06,22
143,7,2019-01-06,23
144,3,2019-01-07,0
145,5,2019-01-07,1
146,7,2019-01-07,2
147,5,2019-01-07,3
148,2,2019-01-07,4
149,7,2019-01-07,5
150,10,2019-01-07,6
151,9,2019-01-07,7
152,9,2019-01-07,8
153,11,2019-01-07,9
154,12,2019-01-07,10
155,11,2019-01-07,11
156,6,2019-01-07,12
157,5,2019-01-07,13
158,5,2019-01-07,14
159,12,2019-01-07,15
160,12,2019-01-07,16
161,13,2019-01-07,17
162,5,2019-01-07,18
163,5,2019-01-07,19
164,5,2019-01-07,20
165,3,2019-01-07,21
166,6,2019-01-07,22
167,2,2019-01-07,23
168,2,2019-01-08,0
169,2,2019-01-08,1
170,3,2019-01-08,2
171,3,2019-01-08,3
172,3,2019-01-08,4
173,5,2019-01-08,5
174,5,2019-01-08,6
175,5,2019-01-08,7
176,2,2019-01-08,8
177,6,2019-01-08,9
178,6,2019-01-08,10
179,9,2019-01-08,11
180,9,2019-01-08,12
181,9,2019-01-08,13
182,9,2019-01-08,14
183,5,2019-01-08,15
184,2,2019-01-08,16
185,2,2019-01-08,17
186,2,2019-01-08,18
187,1,2019-01-08,19
188,1,2019-01-08,20
189,1,2019-01-08,21
190,1,2019-01-08,22
191,0,2019-01-08,23
192,4,2019-01-09,0
193,5,2019-01-09,1
194,4,2019-01-09,2
195,4,2019-01-09,3
196,3,2019-01-09,4
197,5,2019-01-09,5
198,5,2019-01-09,6
199,4,2019-01-09,7
200,3,2019-01-09,8
201,3,2019-01-09,9
202,8,2019-01-09,10
203,6,2019-01-09,11
204,10,2019-01-09,12
205,5,2019-01-09,13
206,4,2019-01-09,14
207,2,2019-01-09,15
208,2,2019-01-09,16
209,5,2019-01-09,17
210,5,2019-01-09,18
211,10,2019-01-09,19
212,9,2019-01-09,20
213,8,2019-01-09,21
214,5,2019-01-09,22
215,3,2019-01-09,23
216,6,2019-01-10,0
217,6,2019-01-10,1
218,5,2019-01-10,2
219,5,2019-01-10,3
220,5,2019-01-10,4
221,5,2019-01-10,5
222,4,2019-01-10,6
223,7,2019-01-10,7
224,10,2019-01-10,8
225,10,2019-01-10,9
226,9,2019-01-10,10
227,7,2019-01-10,11
228,9,2019-01-10,12
229,11,2019-01-10,13
230,10,2019-01-10,14
231,5,2019-01-10,15
232,7,2019-01-10,16
233,5,2019-01-10,17
234,6,2019-01-10,18
235,6,2019-01-10,19
236,10,2019-01-10,20
237,13,2019-01-10,21
238,11,2019-01-10,22
239,11,2019-01-10,23
240,5,2019-01-11,0
241,2,2019-01-11,1
242,2,2019-01-11,2
243,8,2019-01-11,3
244,5,2019-01-11,4
245,6,2019-01-11,5
246,4,2019-01-11,6
247,10,2019-01-11,7
248,11,2019-01-11,8
249,13,2019-01-11,9
250,9,2019-01-11,10
251,8,2019-01-11,11
252,10,2019-01-11,12
253,8,2019-01-11,13
254,8,2019-01-11,14
255,4,2019-01-11,15
256,7,2019-01-11,16
257,7,2019-01-11,17
258,7,2019-01-11,18
259,5,2019-01-11,19
260,4,2019-01-11,20
261,10,2019-01-11,21
262,13,2019-01-11,22
263,8,2019-01-11,23
264,1,2019-01-12,0
265,3,2019-01-12,1
266,3,2019-01-12,2
267,3,2019-01-12,3
268,2,2019-01-12,4
269,8,2019-01-12,5
270,9,2019-01-12,6
271,10,2019-01-12,7
272,7,2019-01-12,8
273,7,2019-01-12,9
274,2,2019-01-12,10
275,3,2019-01-12,11
276,6,2019-01-12,12
277,8,2019-01-12,13
278,11,2019-01-12,14
279,9,2019-01-12,15
280,5,2019-01-12,16
281,4,2019-01-12,17
282,2,2019-01-12,18
283,4,2019-01-12,19
284,8,2019-01-12,20
285,11,2019-01-12,21
286,13,2019-01-12,22
287,13,2019-01-12,23
288,12,2019-01-13,0
289,8,2019-01-13,1
290,8,2019-01-13,2
291,6,2019-01-13,3
292,2,2019-01-13,4
293,4,2019-01-13,5
294,8,2019-01-13,6
295,7,2019-01-13,7
296,8,2019-01-13,8
297,8,2019-01-13,9
298,8,2019-01-13,10
299,8,2019-01-13,11
300,6,2019-01-13,12
301,5,2019-01-13,13
302,6,2019-01-13,14
303,5,2019-01-13,15
304,5,2019-01-13,16
305,3,2019-01-13,17
306,3,2019-01-13,18
307,7,2019-01-13,19
308,6,2019-01-13,20
309,7,2019-01-13,21
310,8,2019-01-13,22
311,8,2019-01-13,23
312,7,2019-01-14,0
313,11,2019-01-14,1
314,9,2019-01-14,2
315,6,2019-01-14,3
